token,tag,tag_STTS,lemma_gold,lemma_pred
Der,DET,ART,der,Der
Hauptgang,NOUN,NN,Hauptgang,Hauptgang
war,AUX,VAFIN,sein,war
in,ADP,APPR,in,in
Ordnung,NOUN,NN,Ordnung,Ordnung
",",PUNCT,"$,",",",","
aber,CCONJ,KON,aber,aber
alles,ADV,PIAT,alle,alles
andere,PRON,PIS,ander,andere
als,ADP,KOKOM,als,als
umwerfend,ADJ,ADJD,umwerfend,umwerfend
.,PUNCT,$.,.,.
Ich,PRON,PPER,ich,Ich
habe,AUX,VAFIN,haben,habe
dort,ADV,ADV,dort,dort
2007,NUM,CARD,2007,2007
meinen,DET,PPOSAT,mein,meinen
OWD,PROPN,NN,OWD,OWD
gemacht,VERB,VVPP,machen,gemacht
und,CCONJ,KON,und,und
weil,SCONJ,KOUS,weil,weil
mir,PRON,PPER,ich,mir
das,DET,ART,der,das
Tauchen,NOUN,NN,Tauchen,Tauchen
so,ADV,ADV,so,so
gefiel,VERB,VVFIN,gefallen,gefiel
hab,AUX,VAFIN,haben,hab
ich,PRON,PPER,ich,ich
dort,ADV,ADV,dort,dort
noch,ADV,ADV,noch,noch
im,_,,_,im
in,ADP,APPR,in,in
dem,DET,ART,der,dem
selben,DET,PDAT,selb,selben
Jahr,NOUN,NN,Jahr,Jahr
den,DET,ART,der,den
AOWD,PROPN,NN,AOWD,AOWD
und,CCONJ,KON,und,und
den,DET,ART,der,den
Deep,PROPN,NN,Deep,Deep
drangehängt,VERB,VVFIN,dranhängen,drangehängt
.,PUNCT,$.,.,.
Ist,AUX,VAFIN,sein,Ist
ja,PART,ADV,ja,ja
wohl,ADV,ADV,wohl,wohl
ein,DET,ART,ein,ein
Witz,NOUN,NN,Witz,Witz
.,PUNCT,$.,.,.
(,PUNCT,$(,(,(
Bei,ADP,APPR,bei,Bei
den,DET,ART,der,den
Damen,NOUN,NN,Dame,Damen
und,CCONJ,KON,und,und
Herren,NOUN,NN,Herr,Herren
des,DET,ART,der,des
besagten,ADJ,ADJA,besagt,besagten
Mobilfunkanbieters,NOUN,NN,Mobilfunkanbieters,Mobilfunkanbieters
bin,AUX,VAFIN,sein,bin
ich,PRON,PPER,ich,ich
im,_,,_,im
in,ADP,APPR,in,in
dem,DET,ART,der,dem
Gegensatz,NOUN,NN,Gegensatz,Gegensatz
dazu,ADV,PAV,dazu,dazu
bisher,ADV,ADV,bisher,bisher
ausschließlich,ADV,ADV,ausschließlich,ausschließlich
auf,ADP,APPR,auf,auf
arrogante,ADJ,ADJA,arrogant,arrogante
Unkenntnis,NOUN,NN,Unkenntnis,Unkenntnis
gestossen,VERB,VVPP,stoßen,gestossen
),PUNCT,$(,),)
.,PUNCT,$.,.,.
10,NUM,CARD,10,10
Euro,NOUN,NN,Euro,Euro
günstiger,ADV,ADJD,günstig,günstiger
selbst,ADV,ADV,selbst,selbst
hätte,AUX,VAFIN,haben,hätte
kaufen,VERB,VVINF,kaufen,kaufen
können,AUX,VMINF,können,können
.,PUNCT,$.,.,.
Absolut,ADV,ADJD,absolut,Absolut
empfehlenswert,ADJ,ADJD,empfehlenswert,empfehlenswert
ist,AUX,VAFIN,sein,ist
auch,ADV,ADV,auch,auch
der,DET,ART,der,der
Service,NOUN,NN,Service,Service
.,PUNCT,$.,.,.
Alle,PRON,PIAT,alle,Alle
am,_,,_,am
an,ADP,APPR,an,an
dem,DET,ART,der,dem
Wort,NOUN,NN,Wort,Wort
Gottes,NOUN,NE,Gott,Gottes
interessierte,ADJ,ADJA,interessiert,interessierte
Personen,NOUN,NN,Person,Personen
